Id,StarbucksId,Name,BrandName,StoreNumber,PhoneNumber,OwnershipType,Street1,Street2,Street3,City,CountrySubdivisionCode,CountryCode,PostalCode,Longitude,Latitude,TimezoneOffset,TimezoneId,TimezoneOlsonId,FirstSeen,LastSeen
49455e22-49e9-461f-912c-00092386eaee,6557,PDX A 2,Starbucks,75916-104381,503-284-4008,LS,"7000 NE Airport Way, MB#3",,,Portland,OR,US,972181031,-122.59,45.59,-480,Pacific Standard Time,GMT-08:00 America/Los_Angeles,12/8/2013 5:41:59 PM,2/3/2017 12:00:00 AM
ac94933f-7752-4bc7-8c8f-001bb1df879a,13082,Safeway-Yelm #1619,Starbucks,74271-51919,360-458-8830,LS,1109 Yelm Ave E,,,Yelm,WA,US,985977683,-122.59,46.93,-480,Pacific Standard Time,GMT-08:00 America/Los_Angeles,12/8/2013 5:41:59 PM,2/3/2017 12:00:00 AM
d5abf2f4-189d-4554-97a9-00af5b969831,12927,Corson & Michigan - Seattle,Starbucks,3408-82540,206-762-4671,CO,5963 Corson Avenue South,"Building A, Unit 184",,Seattle,WA,US,981082619,-122.32,47.55,-480,Pacific Standard Time,GMT-08:00 America/Los_Angeles,12/8/2013 5:41:59 PM,2/3/2017 12:00:00 AM
7f209200-2838-416d-84a9-00b1bde3ab10,13297,Albertsons 3531 @ Lake Oswego,Starbucks,73593-24389,503-635-3429,LS,16199 Boones Ferry Rd.,,,Lake Oswego,OR,US,970354201,-122.72,45.41,-480,Pacific Standard Time,GMT-08:00 America/Los_Angeles,12/8/2013 5:41:59 PM,2/3/2017 12:00:00 AM
40a1151a-57b2-43b3-a9c6-00b3045f803c,13996,Safeway-Kenmore #3500,Starbucks,74413-87984,425-487-2001,LS,6850 NE Bothell Way,,,Kenmore,WA,US,980282404,-122.25,47.76,-480,Pacific Standard Time,GMT-08:00 America/Los_Angeles,12/8/2013 5:41:59 PM,2/3/2017 12:00:00 AM
0c32a179-60fe-48e1-9712-00cbb0d111b6,18661,Safeway-Eugene #4513,Starbucks,70366-136369,541-342-4067,LS,350 E 40th Ave,,,Eugene,OR,US,974053404,-123.09,44.01,-480,Pacific Standard Time,GMT-08:00 America/Los_Angeles,12/8/2013 5:41:59 PM,2/3/2017 12:00:00 AM
bcac7750-783a-4bac-ac03-010858e06c7b,8563,Fred Meyer - Peninsula #255,Starbucks,79336-101746,503-240-2700,LS,6850 North Lombard,,,Portland,OR,US,972036247,-122.74,45.59,-480,Pacific Standard Time,GMT-08:00 America/Los_Angeles,12/8/2013 5:41:59 PM,2/3/2017 12:00:00 AM
db87cc0b-6cb5-4040-8a46-016cbfe34f70,12504,2344 Eastlake,Starbucks,3448-84572,206-324-5144,CO,2344 Eastlake Ave E,,,Seattle,WA,US,981023306,-122.33,47.64,-480,Pacific Standard Time,GMT-08:00 America/Los_Angeles,12/8/2013 5:41:59 PM,2/3/2017 12:00:00 AM
fc81c84b-6baf-4f06-93ec-018e1ef65664,16711,Metropolitan Park,Starbucks,104-58,(206) 340-9068,CO,1730 Minor Avenue,Suite 102,,Seattle,WA,US,981011448,-122.33,47.62,-480,Pacific Standard Time,GMT-08:00 America/Los_Angeles,12/8/2013 5:41:59 PM,2/3/2017 12:00:00 AM
f73ca5c5-2aca-406c-b599-01bce55536ff,16061,N. Miller & N. Mission,Starbucks,391-217,(509) 665-8802,CO,1134 N. Miller Street,Space A,,Wenatchee,WA,US,988011541,-120.33,47.44,-480,Pacific Standard Time,GMT-08:00 America/Los_Angeles,12/8/2013 5:41:59 PM,2/3/2017 12:00:00 AM
